age,education_level,cgpa,math_score,physics_score,biology_score,history_score,openness,conscientiousness,extraversion,agreeableness,neuroticism,weekly_self_study_hours,extracurricular_activities,hobbies,interests,budget,career_demand_score,career_aspiration
22,UG,7.9,75,78,92,69,3,2,2,1,2,18,1,writing,healthcare,13,7,Lawyer
20,UG,6.8,79,71,88,75,3,2,1,2,3,17,1,"research, science",healthcare,13,8,Engineering
21,UG,9,71,81,50,50,3,2,2,2,2,12,1,"travel, sports, music",business,11,4,Historian
22,UG,10,82,78,56,71,3,3,4,4,1,19,1,writing,business,8,8,Defence Persenal
13,Grade 10,7.5,87,78,50,57,3,3,1,2,3,22,1,"gaming, finance",technology,11,10,Software Engineer
16,Grade 12,7.3,53,73,50,73,3,4,4,3,3,26,1,debate,business,13,7,Defence Persenal
23,UG,7.9,67,70,62,63,3,3,2,2,3,23,1,"research, sports",technology,5,8,Lawyer
23,UG,9.4,79,80,68,81,2,3,2,3,3,7,1,finance,arts,15,3,Defence Persenal
14,Grade 10,9.3,76,89,66,67,4,3,3,3,3,31,0,science,arts,9,8,CA
25,PG,9.1,81,82,83,70,4,1,1,3,4,14,0,"debate, travel",technology,9,9,Data Scientist
14,Grade 10,6.2,86,63,61,90,2,1,2,1,3,19,1,"history, science, debate",technology,13,6,Medicine
16,Grade 12,5.7,77,71,69,77,3,1,2,3,3,23,1,"finance, coding, dance",arts,11,9,Software Engineer
25,UG,8.6,67,66,90,69,4,3,1,2,2,27,1,"reading, gaming, travel",arts,11,5,CA
19,UG,6.7,81,74,52,70,1,2,1,3,3,17,0,"coding, reading",healthcare,9,6,IT Specialist
18,UG,6.9,73,62,86,66,1,2,2,4,3,19,1,"music, reading, dance",arts,12,5,MBA
20,UG,8.2,83,50,75,81,1,2,4,3,1,23,1,travel,healthcare,12,5,Defence Persenal
20,UG,5.6,78,63,57,64,3,3,4,3,4,16,0,"painting, science",business,7,6,MBA
17,Grade 12,6.3,50,67,67,75,1,4,1,2,2,9,0,"travel, sports, gaming",arts,9,4,Historian
14,Grade 10,5.5,86,83,76,76,2,1,4,2,2,24,1,"debate, writing",healthcare,12,3,CA
22,UG,7.4,93,84,82,78,2,2,3,1,4,14,1,"gaming, history, sports",arts,11,6,Arts
19,UG,10,79,65,92,62,3,1,4,1,4,22,0,"travel, debate",technology,14,6,Medicine
19,UG,7.6,74,87,80,73,3,1,3,3,3,15,0,"research, debate, dance",arts,8,8,Arts
17,Grade 12,6.5,68,85,56,61,3,4,3,3,3,17,1,"reading, research",healthcare,11,7,Historian
19,UG,5.9,68,75,88,85,3,2,3,2,3,30,0,sports,business,9,8,CA
24,PG,9,84,78,64,64,1,3,3,3,3,27,0,reading,arts,11,6,Finance Manager
22,UG,10,79,74,53,83,2,2,2,2,3,8,1,"coding, travel",healthcare,8,3,CA
19,UG,7.9,79,64,77,63,2,2,2,2,3,19,0,painting,technology,6,7,Historian
24,PG,6.8,93,59,85,56,3,3,2,4,3,12,1,"research, music",business,7,5,CA
22,UG,7.2,73,86,50,78,2,1,2,2,3,20,1,"painting, finance",healthcare,11,4,Engineering
25,UG,8,79,71,67,83,2,2,2,2,2,20,1,dance,arts,14,7,Data Scientist
19,UG,8.3,70,64,71,63,2,2,4,3,1,22,1,"gaming, coding",arts,8,5,Data Scientist
13,Grade 10,9,61,67,94,73,4,2,3,2,1,11,0,"dance, sports, finance",business,10,5,MBA
25,UG,8.1,79,73,56,61,3,2,3,3,4,19,1,research,technology,5,8,IT Specialist
27,UG,7.2,81,90,50,72,3,3,1,3,3,22,1,"reading, painting",technology,8,5,Engineering
20,UG,7.8,72,79,78,70,3,3,1,3,3,27,0,"research, debate, writing",healthcare,8,5,Finance Manager
24,UG,9.1,70,59,68,65,3,4,3,2,1,25,1,reading,business,9,4,Defence Persenal
18,UG,8.9,68,75,52,67,2,4,1,4,1,30,1,music,arts,9,9,IT Specialist
20,UG,5.1,91,80,64,76,2,3,3,1,4,13,0,gaming,technology,9,7,Lawyer
20,UG,7.4,60,73,88,71,1,3,2,2,1,16,0,"debate, coding, research",business,9,3,Engineering
20,UG,8.5,82,59,71,83,3,2,4,2,1,19,0,"science, history",technology,14,10,Historian
20,UG,6.9,90,65,78,78,4,2,2,3,2,13,0,"coding, painting, travel",technology,9,4,CA
16,Grade 12,6,65,76,81,62,4,2,3,2,2,5,0,"research, finance, coding",arts,6,7,Data Scientist
18,UG,7.7,80,70,60,57,2,2,2,3,3,7,1,reading,business,8,6,CA
28,UG,7.2,96,73,66,71,1,3,3,2,2,13,1,"music, debate",business,10,5,Medicine
16,Grade 12,9.3,70,73,100,62,1,2,2,3,2,10,0,"gaming, sports, finance",technology,4,8,Defence Persenal
23,PG,7.3,88,87,63,66,3,2,2,1,1,24,0,"history, painting, research",healthcare,10,5,CA
21,UG,6.5,65,88,61,68,3,2,3,2,2,21,1,"painting, music",technology,6,9,Arts
22,UG,9,74,68,57,85,2,3,2,3,3,23,0,"debate, reading",arts,9,7,IT Specialist
14,Grade 10,6.5,63,72,64,76,3,3,4,2,1,24,0,"travel, music, debate",business,10,7,Lawyer
16,Grade 12,6.7,93,70,67,75,3,2,4,3,2,18,0,"sports, travel",technology,11,9,Historian
22,UG,7.9,85,75,74,76,1,2,5,1,2,23,1,"painting, reading, science",healthcare,7,8,Lawyer
19,UG,9.2,81,83,87,65,2,2,1,2,2,22,1,"painting, debate",healthcare,15,7,Medicine
13,Grade 10,8.1,79,68,61,61,3,4,3,1,3,22,0,gaming,technology,8,8,Historian
25,PG,5.5,76,66,88,91,2,2,1,2,3,27,1,"research, gaming",technology,12,9,Medicine
20,UG,6.9,80,80,88,83,1,3,4,2,4,15,0,"science, debate, writing",business,15,7,CA
25,UG,9.3,82,77,54,79,2,1,2,2,4,12,1,"gaming, painting",healthcare,11,9,MBA
13,Grade 10,8.6,81,92,84,75,2,3,3,2,4,13,1,sports,business,7,7,CA
18,UG,5.9,82,77,79,67,4,2,3,3,4,13,1,science,arts,16,8,Defence Persenal
19,UG,7.5,50,77,83,83,3,2,3,3,3,18,1,dance,healthcare,3,8,Medicine
20,UG,9,88,58,89,78,3,1,3,5,5,23,1,debate,business,7,9,Software Engineer
21,UG,7.4,77,73,68,68,2,5,2,2,4,27,1,travel,arts,10,3,Lawyer
23,UG,6.4,83,65,50,50,2,4,4,3,3,13,1,debate,arts,14,7,Lawyer
14,Grade 10,6,69,84,62,86,2,2,1,3,4,20,1,"research, dance",healthcare,10,10,Software Engineer
23,PG,6.6,63,50,78,65,3,2,2,3,2,19,1,"dance, writing, coding",business,9,10,Lawyer
22,UG,7.9,64,64,76,61,2,2,3,2,3,22,1,"writing, gaming, science",arts,11,5,Historian
20,UG,8.8,66,77,60,77,2,3,3,3,2,10,0,"history, writing",technology,10,4,MBA
14,Grade 10,6.2,85,79,76,75,4,3,3,3,3,23,0,music,business,13,9,CA
19,UG,7.6,75,74,70,80,1,3,2,3,1,31,1,"travel, debate, painting",arts,9,7,Historian
20,UG,7.7,68,55,73,65,3,1,3,3,3,17,0,"reading, science, travel",technology,10,8,Arts
26,PG,8,69,68,69,63,2,3,3,5,3,19,0,debate,arts,11,10,Finance Manager
23,UG,8.1,83,92,80,98,3,3,2,3,1,19,1,"dance, history",technology,16,6,Lawyer
21,UG,7.3,94,85,69,79,3,3,2,1,2,23,0,"music, science",technology,16,7,Finance Manager
17,Grade 12,6.8,82,78,67,84,1,4,1,1,4,25,0,history,business,16,8,MBA
18,UG,7.5,80,63,74,57,1,4,3,4,3,19,0,sports,technology,10,6,Engineering
17,Grade 12,6,72,72,83,67,2,1,2,1,3,18,0,"sports, finance, travel",healthcare,9,5,Lawyer
13,Grade 10,7.4,74,65,71,54,3,3,4,2,2,20,1,"writing, dance, gaming",healthcare,8,6,IT Specialist
19,UG,9.1,53,75,70,77,3,2,3,1,3,22,1,"dance, travel, painting",healthcare,3,6,CA
18,UG,7.1,69,52,51,81,3,4,4,4,3,25,0,"science, music, debate",arts,12,9,Defence Persenal
23,PG,6.8,60,79,59,67,3,2,3,3,2,24,0,"debate, painting",business,15,4,Defence Persenal
20,UG,6.5,80,59,77,77,3,4,2,1,3,33,1,"finance, writing",arts,9,6,IT Specialist
25,UG,8.1,66,66,84,76,1,4,4,4,3,24,0,"finance, reading",healthcare,10,7,Engineering
13,Grade 10,8.6,97,76,71,70,2,3,3,2,4,18,1,"history, coding, research",technology,11,8,IT Specialist
21,UG,7.3,77,61,54,85,2,2,3,1,1,18,1,"dance, travel",business,13,6,Arts
21,UG,6.8,58,95,67,67,1,2,4,2,1,5,1,"sports, science, finance",technology,12,5,Historian
14,Grade 10,8.3,82,67,75,72,3,4,1,4,2,11,1,coding,technology,10,5,IT Specialist
25,PG,7.5,88,71,69,57,3,3,3,3,3,17,1,gaming,healthcare,6,7,Finance Manager
21,UG,7.1,100,82,96,79,1,1,3,3,4,19,0,"coding, writing, gaming",technology,8,7,Arts
18,UG,7.3,72,86,50,62,3,4,3,1,3,21,0,travel,arts,8,5,IT Specialist
20,UG,6.6,76,81,58,69,2,2,3,3,4,31,1,research,business,8,4,MBA
16,Grade 12,8,75,57,92,74,3,2,3,4,1,30,0,"painting, gaming, reading",healthcare,16,4,Lawyer
24,UG,8.4,78,67,55,73,2,3,4,2,1,18,1,painting,healthcare,14,6,Engineering
17,Grade 12,5.9,75,71,73,58,1,1,2,1,2,22,1,"dance, science, music",business,12,7,Data Scientist
15,Grade 10,8.2,90,71,64,76,1,2,3,4,2,23,1,science,business,3,3,IT Specialist
17,Grade 12,6.7,66,75,73,60,2,3,1,2,3,27,1,coding,technology,14,6,Engineering
17,Grade 12,8,87,75,58,50,3,5,2,3,3,15,1,"science, travel",arts,10,7,IT Specialist
22,UG,6.4,66,98,61,69,1,1,1,3,1,26,0,"music, research, gaming",healthcare,8,6,Arts
21,UG,8.2,74,90,75,54,1,2,1,2,2,23,0,debate,technology,10,5,IT Specialist
26,PG,7.2,88,69,82,69,2,3,1,3,3,26,0,"writing, history, science",arts,12,4,Defence Persenal
20,UG,8.1,76,65,55,59,3,3,2,3,1,27,0,"reading, painting",business,12,7,Arts
13,Grade 10,8.4,71,77,72,84,3,3,3,2,3,23,0,"painting, finance, science",technology,12,6,CA
24,UG,7.3,89,80,50,73,2,2,2,2,1,21,1,history,healthcare,6,6,Medicine
21,UG,7.2,67,85,82,73,3,2,3,2,2,19,1,sports,business,7,8,Engineering
24,PG,6.2,73,59,90,71,3,4,2,4,2,24,1,reading,healthcare,5,3,Lawyer
25,PG,7.6,86,79,86,60,4,2,3,4,2,24,1,"debate, history, dance",technology,7,6,Engineering
16,Grade 12,7.4,80,73,81,56,2,3,3,3,2,33,1,"finance, writing, history",healthcare,16,7,Lawyer
21,UG,8,87,81,79,50,4,3,3,3,2,17,0,gaming,healthcare,14,7,CA
19,UG,10,78,58,63,82,1,2,3,4,4,21,1,"finance, painting",business,7,10,Finance Manager
21,UG,8.3,94,65,87,63,1,1,3,4,2,28,0,"science, painting",technology,10,7,CA
20,UG,6.1,58,100,74,74,3,5,1,2,2,16,0,"sports, dance",technology,10,7,CA
15,Grade 10,6.2,77,65,60,72,1,2,1,3,1,12,1,"music, research, coding",business,10,8,IT Specialist
21,UG,8.2,78,72,79,60,4,3,3,2,2,10,0,"dance, science",arts,11,4,Data Scientist
16,Grade 12,6.1,73,80,70,50,2,4,4,2,1,18,1,painting,healthcare,8,7,Engineering
22,UG,8.5,99,74,76,85,3,3,1,1,1,23,0,"coding, debate",technology,9,10,Defence Persenal
15,Grade 10,6.6,94,70,70,77,3,3,2,3,2,24,0,"gaming, research",business,7,9,Engineering
20,UG,7.3,94,74,68,50,4,3,2,2,2,25,0,finance,healthcare,6,9,Historian
20,UG,6,77,66,59,60,2,1,4,3,4,19,1,"science, history, dance",arts,11,5,Software Engineer
15,Grade 10,6.5,63,78,75,62,3,1,4,2,2,14,0,science,technology,9,6,Lawyer
27,PG,6,77,83,83,87,1,1,4,5,2,15,0,finance,healthcare,7,6,Finance Manager
13,Grade 10,5.6,74,95,77,62,2,2,4,3,2,17,1,research,healthcare,12,6,Engineering
18,UG,8.5,75,57,84,76,2,3,1,3,2,17,1,"dance, painting",healthcare,7,6,MBA
23,PG,7.4,84,94,52,77,2,1,1,3,2,18,1,debate,business,6,7,Data Scientist
14,Grade 10,6.1,56,92,56,100,3,2,1,3,3,26,0,"gaming, dance, reading",arts,10,9,IT Specialist
21,UG,6.5,85,82,54,65,2,3,1,2,3,24,1,"research, gaming",healthcare,4,5,Defence Persenal
13,Grade 10,6.6,82,68,60,73,2,3,2,3,2,13,1,dance,business,12,8,Engineering
15,Grade 10,8.1,92,99,76,66,1,2,3,3,2,25,1,"science, debate",business,10,3,Lawyer
24,UG,8.1,70,72,70,61,1,3,2,1,1,26,0,music,business,10,6,IT Specialist
18,UG,7.9,77,65,68,51,3,3,4,3,4,12,0,"science, reading, gaming",technology,11,10,Historian
21,UG,7.2,82,68,63,72,2,2,2,2,1,18,1,"coding, history",business,13,8,Defence Persenal
24,PG,6.3,90,95,61,71,1,3,1,1,1,34,0,"gaming, travel, sports",technology,9,3,Finance Manager
13,Grade 10,7.1,61,76,76,52,3,2,3,3,4,14,1,"writing, science, sports",technology,10,7,MBA
27,UG,8.1,76,82,65,76,1,3,3,2,3,18,1,"finance, coding, painting",healthcare,4,6,Data Scientist
18,UG,6.6,55,58,71,75,3,3,2,3,2,23,1,travel,healthcare,12,6,Engineering
26,UG,8.2,66,59,72,80,3,4,5,1,4,24,1,"debate, history",arts,10,8,Engineering
14,Grade 10,7.7,80,67,72,66,3,2,2,1,2,14,1,writing,business,10,3,Finance Manager
24,UG,7.9,70,72,72,70,2,3,5,1,3,22,0,"coding, music, gaming",business,10,6,Defence Persenal
23,PG,6.2,70,75,70,86,1,4,3,2,1,24,1,"sports, reading, finance",technology,9,7,Historian
24,PG,5,79,87,85,74,3,3,3,4,3,13,0,"dance, science, research",arts,11,9,MBA
16,Grade 12,7.2,64,77,59,63,1,3,3,2,1,30,1,"coding, music, gaming",business,12,5,Defence Persenal
26,PG,8.9,74,74,86,84,3,3,2,3,3,23,0,"debate, painting, writing",business,10,6,Engineering
18,UG,6.9,81,62,76,100,2,2,3,1,2,31,1,"sports, coding, dance",arts,11,5,IT Specialist
18,UG,6.2,78,69,87,50,4,3,2,3,2,20,1,coding,technology,16,4,Software Engineer
23,PG,8.6,72,53,79,79,2,3,2,3,2,15,1,"debate, gaming, science",business,11,3,MBA
26,UG,8.8,74,64,72,63,2,2,2,3,3,27,1,"painting, gaming",business,9,3,Medicine
18,UG,6.8,70,66,50,50,1,4,4,1,2,12,1,"science, finance",arts,6,6,Medicine
19,UG,8.2,79,73,68,75,1,4,2,4,2,31,0,coding,business,12,4,Defence Persenal
13,Grade 10,7,78,68,90,72,1,3,1,5,3,19,1,"history, travel",business,8,8,Arts
19,UG,9.4,61,76,73,60,1,3,3,4,3,16,1,"coding, debate, writing",business,3,7,Arts
19,UG,5.5,68,60,59,62,2,3,2,4,4,14,1,"science, writing",healthcare,12,5,Data Scientist
20,UG,5.3,75,69,74,55,3,1,4,3,2,16,1,science,technology,13,8,CA
13,Grade 10,8.9,81,72,81,95,5,3,1,2,3,21,1,"gaming, reading",technology,7,4,Finance Manager
23,PG,9.2,73,71,50,86,2,4,3,3,2,13,0,"reading, dance, writing",healthcare,8,6,Software Engineer
27,UG,7.3,75,65,78,60,3,2,4,4,2,19,0,"music, gaming",technology,6,8,Engineering
21,UG,7.4,72,51,84,73,2,2,2,3,3,7,0,"finance, reading",technology,8,6,Historian
19,UG,6.5,75,85,59,83,4,3,3,1,3,13,0,"research, coding",technology,9,8,MBA
21,UG,6.8,82,81,67,81,4,3,3,3,3,13,0,music,arts,12,5,IT Specialist
16,Grade 12,7.6,81,76,65,76,2,1,3,2,3,19,1,"research, painting",arts,8,5,Software Engineer
17,Grade 12,6.5,90,80,79,99,2,3,3,1,3,16,1,"science, music, dance",arts,11,8,Engineering
22,UG,8.6,74,93,78,75,3,1,3,3,2,17,1,research,business,9,4,IT Specialist
19,UG,7.1,74,60,61,66,1,4,2,2,2,18,0,"reading, writing, debate",healthcare,8,3,IT Specialist
27,UG,7.2,81,90,73,80,1,3,4,3,5,30,0,"painting, music",technology,13,6,Software Engineer
16,Grade 12,8.4,88,72,72,64,2,2,4,3,1,24,1,finance,arts,12,8,MBA
17,Grade 12,8.9,73,73,52,64,1,2,2,3,1,18,1,"dance, painting",technology,9,10,Finance Manager
18,UG,5.2,91,82,58,77,2,2,3,5,2,27,1,"debate, sports",arts,9,5,IT Specialist
18,UG,5,51,86,68,80,3,2,2,2,2,29,1,"history, coding, debate",healthcare,12,6,IT Specialist
16,Grade 12,8.8,81,83,76,80,2,3,2,1,2,22,1,"coding, music, science",arts,9,10,Historian
15,Grade 10,10,82,81,70,61,2,2,3,2,3,15,1,coding,technology,11,4,Defence Persenal
16,Grade 12,7.9,65,65,50,50,3,4,3,3,1,24,1,"history, research",business,10,7,CA
20,UG,7.1,74,61,69,72,5,3,1,2,3,11,1,"painting, debate",arts,6,4,MBA
15,Grade 10,6.1,75,63,61,50,3,2,1,2,2,23,0,"debate, gaming, sports",technology,10,5,Defence Persenal
13,Grade 10,7.8,83,69,89,65,1,3,2,2,1,12,1,music,healthcare,11,8,IT Specialist
24,UG,7.9,57,77,64,80,5,2,2,2,1,26,0,"painting, history",healthcare,8,6,CA
14,Grade 10,8.2,64,56,86,68,1,2,3,2,2,18,1,sports,business,8,6,Software Engineer
22,UG,6.8,65,68,79,74,2,2,1,2,2,5,1,"gaming, history",healthcare,8,7,Historian
21,UG,8.6,94,75,72,74,2,3,2,2,2,16,1,"science, research",healthcare,11,8,MBA
22,UG,6.1,58,50,77,87,2,2,4,2,2,17,0,"gaming, sports",healthcare,10,6,Medicine
15,Grade 10,6.5,59,81,73,71,3,3,2,1,1,19,0,sports,healthcare,13,6,CA
23,PG,6.4,70,68,75,69,1,5,2,3,4,19,0,"painting, dance, coding",arts,8,3,Lawyer
20,UG,6.7,74,84,66,92,2,3,1,3,3,28,0,"gaming, travel",healthcare,6,3,Lawyer
26,PG,9,82,75,53,76,3,4,3,3,2,23,0,sports,healthcare,11,6,Arts
22,UG,8.7,78,65,77,67,3,5,3,3,2,27,1,"writing, history, sports",arts,12,7,Finance Manager
23,PG,5.5,72,87,77,83,2,3,3,3,3,14,0,"debate, painting",technology,9,6,Data Scientist
20,UG,7,56,73,69,68,2,2,4,3,2,24,1,research,arts,9,8,Engineering
23,UG,7.5,82,81,87,85,2,2,3,4,1,18,0,"finance, gaming",technology,3,3,Defence Persenal
17,Grade 12,6.6,100,99,75,79,1,5,1,2,4,30,0,music,technology,8,6,Defence Persenal
22,UG,9.4,66,81,97,66,4,3,2,1,2,24,0,"dance, painting",arts,4,7,Lawyer
16,Grade 12,7.5,93,100,60,53,3,5,1,3,3,29,0,music,technology,8,5,CA
21,UG,7.7,79,58,71,69,1,4,3,2,4,23,0,"debate, coding, research",technology,7,5,Historian
16,Grade 12,10,64,72,83,72,4,2,2,1,2,23,1,history,healthcare,8,6,IT Specialist
17,Grade 12,7.8,77,84,71,58,2,2,4,1,2,21,1,coding,healthcare,8,6,CA
20,UG,7.8,60,74,71,57,3,3,1,3,2,14,1,"dance, sports",healthcare,12,7,Engineering
18,UG,7.5,56,94,57,53,3,4,3,4,2,13,0,"finance, travel",healthcare,10,6,Arts
16,Grade 12,7.1,67,60,67,80,3,3,2,2,3,16,0,"finance, history",business,8,8,Defence Persenal
22,UG,6.1,79,83,80,82,3,3,3,2,3,22,0,coding,business,14,6,Software Engineer
19,UG,10,87,61,57,90,2,2,1,4,4,19,0,"travel, music, science",business,14,8,Medicine
19,UG,7.3,79,64,66,74,2,3,3,1,2,14,0,"finance, travel, music",healthcare,7,7,Historian
22,UG,8.4,56,81,50,71,2,4,3,2,2,20,1,"debate, science",arts,12,6,Lawyer
14,Grade 10,8,87,92,90,57,3,3,1,3,2,18,0,"research, sports, travel",arts,5,5,Defence Persenal
18,UG,9.3,85,74,80,85,2,1,3,2,2,15,1,"travel, writing, science",business,11,6,Defence Persenal
21,UG,7.6,73,90,61,59,2,2,3,3,2,18,1,science,technology,8,6,Arts
14,Grade 10,9.1,90,98,67,71,2,2,3,3,1,19,0,"finance, sports, travel",arts,13,3,IT Specialist
22,UG,8.6,52,76,76,71,3,2,1,3,2,14,0,"dance, reading",business,7,10,Medicine
24,PG,7.9,58,56,53,71,3,2,2,2,3,21,0,coding,business,9,6,IT Specialist
20,UG,6.9,81,65,58,61,2,3,3,2,1,21,1,sports,healthcare,11,10,Lawyer
17,Grade 12,5.7,78,73,59,63,2,3,2,3,3,23,1,"research, history, debate",healthcare,10,7,Engineering
13,Grade 10,7.7,74,62,67,83,3,2,3,3,1,11,1,reading,technology,11,8,Historian
19,UG,6,86,79,59,75,4,2,2,4,3,21,0,"dance, painting, finance",arts,3,7,Software Engineer
20,UG,7.7,92,65,50,77,2,2,3,1,2,19,1,dance,arts,7,6,CA
22,UG,6.4,72,82,65,53,3,1,4,2,3,9,1,writing,healthcare,9,5,Arts
18,UG,8.6,83,79,65,54,2,4,4,2,2,17,0,"music, dance",arts,9,4,IT Specialist
29,UG,8.5,86,71,75,80,2,2,2,3,2,22,1,"dance, writing",business,5,5,Engineering
17,Grade 12,9.1,65,68,84,57,2,3,3,4,3,11,1,"coding, painting, reading",technology,4,7,CA
26,PG,8.2,85,80,67,78,3,3,3,3,4,13,0,"music, coding",healthcare,6,9,Historian
21,UG,8.2,86,64,79,78,2,4,3,1,3,24,0,science,arts,7,7,Historian
19,UG,6.9,71,71,71,68,2,4,1,1,2,10,1,"sports, history",arts,13,8,IT Specialist
18,UG,6.9,77,72,83,72,3,3,4,1,2,17,1,"finance, painting, travel",arts,5,6,IT Specialist
20,UG,7.1,68,91,57,74,3,3,1,3,3,24,1,debate,business,5,9,Engineering
25,PG,8.3,85,84,87,86,1,2,3,2,3,29,1,"gaming, finance",arts,8,10,Lawyer
18,UG,8.9,88,77,61,89,4,3,5,2,4,13,0,"research, reading",arts,9,6,Historian
16,Grade 12,7.2,64,78,70,68,1,2,4,2,1,18,1,gaming,business,13,7,IT Specialist
26,UG,8.8,62,65,64,64,1,3,2,3,2,20,1,writing,arts,4,6,Software Engineer
20,UG,5.3,70,61,77,50,2,3,3,2,2,11,1,"dance, sports",technology,18,6,Data Scientist
21,UG,5.4,74,67,54,70,3,2,3,3,4,27,1,"sports, writing, gaming",arts,8,9,Arts
21,UG,6.8,66,81,71,66,4,2,2,2,3,7,0,"gaming, coding, dance",business,11,5,Medicine
13,Grade 10,10,64,84,85,70,2,2,2,4,1,23,0,science,arts,9,7,IT Specialist
18,UG,7.4,94,71,68,55,2,2,3,3,3,24,0,"painting, writing, gaming",technology,8,7,IT Specialist
19,UG,7.2,55,80,65,82,2,1,3,1,2,17,0,"gaming, research",healthcare,3,3,Defence Persenal
16,Grade 12,6.9,82,84,76,70,2,3,3,3,3,24,1,"music, history, reading",healthcare,6,5,CA
15,Grade 10,7.4,65,68,76,53,2,2,2,1,1,32,0,"debate, history",healthcare,12,7,CA
23,PG,9.7,87,85,71,68,4,2,2,3,3,24,0,"dance, finance, coding",technology,4,7,Finance Manager
20,UG,6.9,76,87,74,85,2,2,2,1,2,25,1,finance,healthcare,9,6,Finance Manager
22,UG,5.1,88,63,68,67,1,3,2,2,2,25,1,"sports, finance",technology,14,3,Medicine
20,UG,8.6,72,63,78,74,3,3,1,3,3,19,1,"debate, reading, research",technology,11,6,Arts
20,UG,6.6,72,93,69,66,3,3,1,4,3,16,1,"writing, history, painting",healthcare,10,9,Medicine
23,UG,5,68,71,89,76,2,2,1,1,3,21,0,coding,business,9,5,IT Specialist
26,UG,7,77,74,58,65,4,4,4,1,3,20,1,"travel, sports, debate",business,9,8,IT Specialist
22,UG,6.3,78,79,77,54,3,3,3,3,3,15,0,science,healthcare,6,3,Medicine
15,Grade 10,5,71,72,56,72,2,3,2,3,3,20,1,"sports, dance, debate",arts,3,6,Finance Manager
18,UG,6.3,78,89,64,50,1,3,1,2,2,12,0,"gaming, coding, finance",technology,8,4,Medicine
15,Grade 10,7.2,69,67,69,78,2,3,2,4,1,6,0,"travel, gaming",arts,12,3,Medicine
13,Grade 10,7.1,74,83,77,89,3,3,3,2,1,24,0,gaming,business,10,8,IT Specialist
17,Grade 12,6.8,75,82,59,80,3,1,2,3,1,25,1,"dance, debate, gaming",arts,11,4,Finance Manager
13,Grade 10,8.6,87,67,50,86,1,3,2,2,3,18,1,"gaming, sports, travel",arts,10,6,Data Scientist
16,Grade 12,7.8,69,79,64,63,2,4,2,3,3,22,1,research,arts,6,5,Historian
21,UG,9.6,85,83,89,64,2,1,3,4,1,13,1,"debate, music",healthcare,11,5,Arts
24,PG,9.1,68,75,78,78,4,3,2,3,3,22,1,"dance, coding, painting",arts,10,5,Engineering
23,UG,9.2,57,88,53,95,3,4,1,1,1,17,0,"reading, travel",healthcare,7,7,Defence Persenal
15,Grade 10,9,74,72,88,63,3,3,2,4,2,26,1,"history, debate, reading",technology,11,5,Engineering
21,UG,6.5,69,87,69,65,2,2,3,4,2,22,0,"music, history",business,7,3,CA
22,UG,8,78,78,76,74,4,3,3,2,4,21,0,history,technology,8,4,Historian
19,UG,7.5,71,91,73,60,3,1,4,3,2,16,1,"dance, sports, coding",healthcare,11,8,Arts
20,UG,7.5,86,78,82,76,4,5,3,2,2,19,0,"reading, music",arts,4,7,Medicine
22,UG,5.6,64,65,61,63,2,3,3,3,1,13,0,"dance, travel",business,11,6,Medicine
23,PG,7.5,67,77,50,70,2,3,2,1,3,26,0,"history, dance, sports",healthcare,8,5,MBA
13,Grade 10,7,66,79,56,68,2,2,1,3,4,24,1,"debate, finance",technology,5,6,Medicine
18,UG,8.7,73,61,73,55,2,3,3,2,1,14,1,travel,healthcare,11,8,Data Scientist
27,UG,6.4,69,66,50,59,3,4,2,2,3,24,0,research,technology,10,8,Arts
15,Grade 10,6.3,74,80,84,70,2,3,1,3,3,23,1,painting,healthcare,6,4,CA
14,Grade 10,6.2,86,81,67,56,3,4,4,2,3,18,1,painting,business,7,6,IT Specialist
16,Grade 12,7.2,96,75,70,58,2,3,4,3,3,23,1,"finance, gaming, music",healthcare,10,6,IT Specialist
20,UG,8,72,78,79,70,3,3,3,3,2,23,0,"music, gaming",technology,10,8,Lawyer
20,UG,6.7,63,95,71,57,1,3,2,3,2,23,1,science,technology,9,5,Medicine
21,UG,6.6,88,58,64,78,2,3,4,3,4,23,1,"coding, music",healthcare,10,5,Defence Persenal
19,UG,10,73,74,66,62,2,3,4,2,3,20,1,painting,healthcare,11,6,Finance Manager
21,UG,8.1,79,71,60,83,2,3,2,3,3,24,1,"debate, dance, research",healthcare,13,7,Software Engineer
16,Grade 12,5.2,69,81,76,65,3,2,2,4,2,10,1,"science, painting, dance",arts,10,4,Medicine
19,UG,6.5,72,55,77,67,2,4,1,2,3,27,0,coding,healthcare,16,7,Lawyer
21,UG,6.6,71,91,69,71,3,2,1,2,2,7,1,"painting, debate",healthcare,4,8,Software Engineer
21,UG,6.7,56,52,70,76,2,4,2,2,3,23,1,"gaming, music",business,15,6,IT Specialist
19,UG,6.7,79,78,81,61,2,3,3,4,3,16,1,writing,healthcare,10,10,Software Engineer
24,PG,8.2,99,77,84,86,2,3,3,3,3,19,1,"gaming, reading, debate",business,8,8,Arts
27,PG,9.9,69,88,64,59,2,2,3,2,3,19,0,"finance, travel, writing",healthcare,13,6,Historian
27,PG,6.4,74,75,70,55,1,2,3,1,2,17,0,"debate, science, finance",technology,14,5,CA
16,Grade 12,6.7,59,81,77,73,3,2,1,2,3,20,0,"sports, music",technology,7,8,Historian
